[19:03:43] device=cuda (GPU used by deep model: True)
[19:03:43] [WESAD] subjects=15  window=60s stride=30s @ 700Hz
X:\dev\Empathic\src\empathic\data\wesad.py:444: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  data = pickle.load(fh, encoding="latin1")
[19:10:22]   [tiny_tcn_fusion] subject=S15  acc=0.376  f1=0.446
[19:10:25]   [tiny_tcn_fusion] subject=S16  acc=0.838  f1=0.623
[19:10:30]   [tiny_tcn_fusion] subject=S17  acc=0.850  f1=0.589
[19:10:38]   [tiny_tcn_fusion] subject=S2  acc=0.521  f1=0.553
[19:10:45]   [tiny_tcn_fusion] subject=S3  acc=0.869  f1=0.647
[19:10:50]   [tiny_tcn_fusion] subject=S4  acc=0.758  f1=0.506
[19:10:56]   [tiny_tcn_fusion] subject=S5  acc=0.869  f1=0.636
[19:11:01]   [tiny_tcn_fusion] subject=S6  acc=0.939  f1=0.932
[19:11:08]   [tiny_tcn_fusion] subject=S7  acc=0.798  f1=0.610
[19:11:12]   [tiny_tcn_fusion] subject=S8  acc=0.550  f1=0.431
[19:11:19]   [tiny_tcn_fusion] subject=S9  acc=0.798  f1=0.650
[19:11:19] --- LOSO [bilstm] ---
[19:11:23]   [bilstm_fusion] subject=S10  acc=0.854  f1=0.618
[19:11:30]   [bilstm_fusion] subject=S11  acc=0.735  f1=0.520
[19:11:36]   [bilstm_fusion] subject=S13  acc=0.882  f1=0.715
[19:11:43]   [bilstm_fusion] subject=S14  acc=0.814  f1=0.535
[19:11:50]   [bilstm_fusion] subject=S15  acc=0.535  f1=0.567
[19:11:55]   [bilstm_fusion] subject=S16  acc=0.838  f1=0.683
[19:12:00]   [bilstm_fusion] subject=S17  acc=0.850  f1=0.579
[19:12:05]   [bilstm_fusion] subject=S2  acc=0.708  f1=0.700
[19:12:09]   [bilstm_fusion] subject=S3  acc=0.919  f1=0.837
[19:12:13]   [bilstm_fusion] subject=S4  acc=0.828  f1=0.669
[19:12:18]   [bilstm_fusion] subject=S5  acc=0.859  f1=0.619
[19:12:23]   [bilstm_fusion] subject=S6  acc=0.929  f1=0.927
[19:12:28]   [bilstm_fusion] subject=S7  acc=0.667  f1=0.438
[19:12:32]   [bilstm_fusion] subject=S8  acc=0.570  f1=0.428
[19:12:39]   [bilstm_fusion] subject=S9  acc=0.798  f1=0.566
[19:12:39] --- LOSO [cnn1d] ---
[19:12:44]   [cnn1d_fusion] subject=S10  acc=0.883  f1=0.639
[19:12:49]   [cnn1d_fusion] subject=S11  acc=0.824  f1=0.597
[19:12:54]   [cnn1d_fusion] subject=S13  acc=0.882  f1=0.672
[19:12:59]   [cnn1d_fusion] subject=S14  acc=0.863  f1=0.583
[19:13:04]   [cnn1d_fusion] subject=S15  acc=0.564  f1=0.563
[19:13:12]   [cnn1d_fusion] subject=S16  acc=0.869  f1=0.761
[19:13:16]   [cnn1d_fusion] subject=S17  acc=0.870  f1=0.620
[19:13:22]   [cnn1d_fusion] subject=S2  acc=0.594  f1=0.595
[19:13:28]   [cnn1d_fusion] subject=S3  acc=0.848  f1=0.690
[19:13:32]   [cnn1d_fusion] subject=S4  acc=0.758  f1=0.518
[19:13:36]   [cnn1d_fusion] subject=S5  acc=0.778  f1=0.612
[19:13:43]   [cnn1d_fusion] subject=S6  acc=0.899  f1=0.859
[19:13:47]   [cnn1d_fusion] subject=S7  acc=0.869  f1=0.636
[19:13:53]   [cnn1d_fusion] subject=S8  acc=0.700  f1=0.522
[19:13:58]   [cnn1d_fusion] subject=S9  acc=0.768  f1=0.505
[19:13:58] [ensemble] 'RandomForest' calibrated T=0.50 (NLL=0.269)
[19:13:58] [ensemble] 'XGBoost' calibrated T=2.00 (NLL=0.297)
[19:13:58] [ensemble] 'LogisticRegression' calibrated T=2.50 (NLL=0.388)
[19:13:58] [ensemble] 'conformer_fusion' calibrated T=1.00 (NLL=0.508)
[19:13:58] [ensemble] built 'Ensemble_RandomForest+XGBoost+LogisticRegression+conformer_fusion' over 4 members  acc=0.893  f1=0.791
[19:14:01] Saved results to results\emotion\wesad_v5\wesad\quadrant
