[08:01:24] device=cuda (GPU used by deep model: True)
[08:01:24] [WESAD] subjects=15  window=60s stride=30s @ 700Hz
X:\dev\Empathic\src\empathic\data\wesad.py:260: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  data = pickle.load(fh, encoding="latin1")
[08:06:56]   [bilstm] subject=S4  acc=0.990  f1=0.985
[08:07:02]   [bilstm] subject=S5  acc=0.970  f1=0.957
[08:07:07]   [bilstm] subject=S6  acc=0.889  f1=0.862
[08:07:09]   [bilstm] subject=S7  acc=1.000  f1=1.000
[08:07:14]   [bilstm] subject=S8  acc=0.770  f1=0.705
[08:07:17]   [bilstm] subject=S9  acc=0.879  f1=0.847
[08:07:17] --- LOSO [cnn1d] ---
[08:07:23]   [cnn1d] subject=S10  acc=1.000  f1=1.000
[08:07:26]   [cnn1d] subject=S11  acc=0.882  f1=0.788
[08:07:30]   [cnn1d] subject=S13  acc=1.000  f1=1.000
[08:07:35]   [cnn1d] subject=S14  acc=0.853  f1=0.813
[08:07:41]   [cnn1d] subject=S15  acc=0.683  f1=0.434
[08:07:44]   [cnn1d] subject=S16  acc=1.000  f1=1.000
[08:07:49]   [cnn1d] subject=S17  acc=0.990  f1=0.986
[08:07:51]   [cnn1d] subject=S2  acc=0.938  f1=0.902
[08:07:55]   [cnn1d] subject=S3  acc=1.000  f1=1.000
[08:08:00]   [cnn1d] subject=S4  acc=0.899  f1=0.822
[08:08:04]   [cnn1d] subject=S5  acc=1.000  f1=1.000
[08:08:09]   [cnn1d] subject=S6  acc=0.859  f1=0.739
[08:08:13]   [cnn1d] subject=S7  acc=1.000  f1=1.000
[08:08:17]   [cnn1d] subject=S8  acc=0.740  f1=0.706
[08:08:21]   [cnn1d] subject=S9  acc=0.818  f1=0.745
[08:08:21] --- LOSO [tstcc] ---
[08:08:31]   [tstcc-pretrain] epoch 10/40  loss=7.8512
[08:08:40]   [tstcc-pretrain] epoch 20/40  loss=7.7146
[08:08:49]   [tstcc-pretrain] epoch 30/40  loss=7.6597
[08:08:59]   [tstcc-pretrain] epoch 40/40  loss=7.6506
[08:09:00]   [tstcc] subject=S10  acc=0.971  f1=0.957
[08:09:09]   [tstcc-pretrain] epoch 10/40  loss=7.8389
[08:09:19]   [tstcc-pretrain] epoch 20/40  loss=7.7055
[08:09:28]   [tstcc-pretrain] epoch 30/40  loss=7.6566
[08:09:37]   [tstcc-pretrain] epoch 40/40  loss=7.6445
[08:09:39]   [tstcc] subject=S11  acc=1.000  f1=1.000
[08:09:48]   [tstcc-pretrain] epoch 10/40  loss=7.8342
[08:09:56]   [tstcc-pretrain] epoch 20/40  loss=7.7071
[08:10:05]   [tstcc-pretrain] epoch 30/40  loss=7.6603
[08:10:14]   [tstcc-pretrain] epoch 40/40  loss=7.6513
[08:10:15]   [tstcc] subject=S13  acc=0.912  f1=0.845
[08:10:24]   [tstcc-pretrain] epoch 10/40  loss=7.8336
[08:10:33]   [tstcc-pretrain] epoch 20/40  loss=7.7221
[08:10:41]   [tstcc-pretrain] epoch 30/40  loss=7.6513
[08:10:50]   [tstcc-pretrain] epoch 40/40  loss=7.6516
[08:10:51]   [tstcc] subject=S14  acc=0.824  f1=0.768
[08:11:01]   [tstcc-pretrain] epoch 10/40  loss=7.8427
[08:11:10]   [tstcc-pretrain] epoch 20/40  loss=7.7108
[08:11:19]   [tstcc-pretrain] epoch 30/40  loss=7.6523
[08:11:28]   [tstcc-pretrain] epoch 40/40  loss=7.6489
[08:11:30]   [tstcc] subject=S15  acc=0.851  f1=0.803
[08:11:39]   [tstcc-pretrain] epoch 10/40  loss=7.8440
[08:11:49]   [tstcc-pretrain] epoch 20/40  loss=7.7065
[08:11:57]   [tstcc-pretrain] epoch 30/40  loss=7.6644
[08:12:06]   [tstcc-pretrain] epoch 40/40  loss=7.6542
[08:12:07]   [tstcc] subject=S16  acc=0.980  f1=0.972
[08:12:16]   [tstcc-pretrain] epoch 10/40  loss=7.8249
[08:12:24]   [tstcc-pretrain] epoch 20/40  loss=7.7044
[08:12:32]   [tstcc-pretrain] epoch 30/40  loss=7.6520
[08:12:41]   [tstcc-pretrain] epoch 40/40  loss=7.6454
[08:12:42]   [tstcc] subject=S17  acc=0.830  f1=0.806
[08:12:50]   [tstcc-pretrain] epoch 10/40  loss=7.8317
[08:12:59]   [tstcc-pretrain] epoch 20/40  loss=7.7145
[08:13:07]   [tstcc-pretrain] epoch 30/40  loss=7.6699
[08:13:15]   [tstcc-pretrain] epoch 40/40  loss=7.6479
[08:13:17]   [tstcc] subject=S2  acc=0.917  f1=0.869
[08:13:25]   [tstcc-pretrain] epoch 10/40  loss=7.8188
[08:13:33]   [tstcc-pretrain] epoch 20/40  loss=7.7082
[08:13:42]   [tstcc-pretrain] epoch 30/40  loss=7.6556
[08:13:50]   [tstcc-pretrain] epoch 40/40  loss=7.6566
[08:13:52]   [tstcc] subject=S3  acc=0.848  f1=0.811
[08:14:00]   [tstcc-pretrain] epoch 10/40  loss=7.8330
[08:14:08]   [tstcc-pretrain] epoch 20/40  loss=7.7020
[08:14:17]   [tstcc-pretrain] epoch 30/40  loss=7.6576
[08:14:25]   [tstcc-pretrain] epoch 40/40  loss=7.6496
[08:14:26]   [tstcc] subject=S4  acc=0.808  f1=0.533
[08:14:35]   [tstcc-pretrain] epoch 10/40  loss=7.8341
[08:14:43]   [tstcc-pretrain] epoch 20/40  loss=7.7065
[08:14:51]   [tstcc-pretrain] epoch 30/40  loss=7.6584
[08:15:00]   [tstcc-pretrain] epoch 40/40  loss=7.6453
[08:15:01]   [tstcc] subject=S5  acc=1.000  f1=1.000
[08:15:09]   [tstcc-pretrain] epoch 10/40  loss=7.8402
[08:15:18]   [tstcc-pretrain] epoch 20/40  loss=7.7088
[08:15:26]   [tstcc-pretrain] epoch 30/40  loss=7.6599
[08:15:34]   [tstcc-pretrain] epoch 40/40  loss=7.6486
[08:15:36]   [tstcc] subject=S6  acc=0.848  f1=0.811
[08:15:44]   [tstcc-pretrain] epoch 10/40  loss=7.8392
[08:15:53]   [tstcc-pretrain] epoch 20/40  loss=7.7195
[08:16:01]   [tstcc-pretrain] epoch 30/40  loss=7.6602
[08:16:09]   [tstcc-pretrain] epoch 40/40  loss=7.6637
[08:16:11]   [tstcc] subject=S7  acc=0.909  f1=0.881
[08:16:19]   [tstcc-pretrain] epoch 10/40  loss=7.8266
[08:16:27]   [tstcc-pretrain] epoch 20/40  loss=7.7178
[08:16:35]   [tstcc-pretrain] epoch 30/40  loss=7.6514
[08:16:44]   [tstcc-pretrain] epoch 40/40  loss=7.6422
[08:16:45]   [tstcc] subject=S8  acc=0.870  f1=0.833
[08:16:53]   [tstcc-pretrain] epoch 10/40  loss=7.8358
[08:17:02]   [tstcc-pretrain] epoch 20/40  loss=7.7045
[08:17:10]   [tstcc-pretrain] epoch 30/40  loss=7.6584
[08:17:18]   [tstcc-pretrain] epoch 40/40  loss=7.6496
[08:17:19]   [tstcc] subject=S9  acc=0.990  f1=0.985
[08:17:19] --- LOSO [dann] ---
[08:17:33]   [dann] subject=S10  acc=0.981  f1=0.974
[08:17:46]   [dann] subject=S11  acc=0.922  f1=0.880
[08:17:57]   [dann] subject=S13  acc=0.980  f1=0.972
[08:18:09]   [dann] subject=S14  acc=0.833  f1=0.783
[08:18:15]   [dann] subject=S15  acc=0.931  f1=0.889
[08:18:24]   [dann] subject=S16  acc=0.960  f1=0.945
[08:18:38]   [dann] subject=S17  acc=0.890  f1=0.868
[08:18:51]   [dann] subject=S2  acc=0.958  f1=0.937
[08:19:05]   [dann] subject=S3  acc=0.919  f1=0.890
[08:19:19]   [dann] subject=S4  acc=0.980  f1=0.969
[08:19:29]   [dann] subject=S5  acc=0.990  f1=0.985
[08:19:41]   [dann] subject=S6  acc=0.909  f1=0.874
[08:19:55]   [dann] subject=S7  acc=1.000  f1=1.000
[08:20:03]   [dann] subject=S8  acc=0.690  f1=0.652
[08:20:10]   [dann] subject=S9  acc=0.879  f1=0.847
[08:20:12] Saved results to results\emotion\wesad_full\wesad\valence
