[20:06:45] device=cuda (GPU used by deep model: True)
[20:06:45] [WESAD] subjects=15  window=60s stride=30s @ 700Hz
X:\dev\Empathic\src\empathic\data\wesad.py:444: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  data = pickle.load(fh, encoding="latin1")
[20:07:50]   [LogisticRegression] subject=S14  acc=1.000  f1=1.000
[20:07:50]   [LogisticRegression] subject=S15  acc=0.881  f1=0.876
[20:07:50]   [LogisticRegression] subject=S16  acc=0.970  f1=0.967
[20:07:50]   [LogisticRegression] subject=S17  acc=0.940  f1=0.934
[20:07:50]   [LogisticRegression] subject=S2  acc=0.510  f1=0.506
[20:07:50]   [LogisticRegression] subject=S3  acc=0.939  f1=0.934
[20:07:50]   [LogisticRegression] subject=S4  acc=0.949  f1=0.941
[20:07:50]   [LogisticRegression] subject=S5  acc=0.970  f1=0.965
[20:07:50]   [LogisticRegression] subject=S6  acc=0.939  f1=0.935
[20:07:50]   [LogisticRegression] subject=S7  acc=0.879  f1=0.869
[20:07:50]   [LogisticRegression] subject=S8  acc=0.760  f1=0.748
[20:07:50]   [LogisticRegression] subject=S9  acc=0.960  f1=0.955
[20:07:50] --- LOSO [XGBoost] ---
X:\dev\Empathic\.venv\Lib\site-packages\xgboost\core.py:751: UserWarning: [20:07:51] WARNING: C:\actions-runner\_work\xgboost\xgboost\src\common\error_msg.cc:62: Falling back to prediction using DMatrix due to mismatched devices. This might lead to higher memory usage and slower performance. XGBoost is running on: cuda:0, while the input data is on: cpu.
Potential solutions:
- Use a data structure that matches the device ordinal in the booster.
- Set the device for booster before call to inplace_predict.

This warning will only be shown once.

  return func(**kwargs)
[20:07:51]   [XGBoost] subject=S10  acc=0.835  f1=0.794
[20:07:52]   [XGBoost] subject=S11  acc=0.892  f1=0.876
[20:07:52]   [XGBoost] subject=S13  acc=0.990  f1=0.989
[20:07:53]   [XGBoost] subject=S14  acc=0.990  f1=0.989
[20:07:53]   [XGBoost] subject=S15  acc=0.941  f1=0.932
[20:07:54]   [XGBoost] subject=S16  acc=0.960  f1=0.955
[20:07:54]   [XGBoost] subject=S17  acc=0.990  f1=0.989
[20:07:55]   [XGBoost] subject=S2  acc=0.573  f1=0.565
[20:07:56]   [XGBoost] subject=S3  acc=0.939  f1=0.935
[20:07:56]   [XGBoost] subject=S4  acc=0.939  f1=0.931
[20:07:57]   [XGBoost] subject=S5  acc=0.939  f1=0.932
[20:07:57]   [XGBoost] subject=S6  acc=0.990  f1=0.989
[20:07:58]   [XGBoost] subject=S7  acc=0.848  f1=0.811
[20:07:58]   [XGBoost] subject=S8  acc=0.730  f1=0.724
[20:07:59]   [XGBoost] subject=S9  acc=0.960  f1=0.955
[20:07:59] --- LOSO [conformer] ---
X:\dev\Empathic\.venv\Lib\site-packages\torch\nn\modules\module.py:1370: UserWarning: expandable_segments not supported on this platform (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\c10/cuda/CUDAAllocatorConfig.h:39.)
  return t.to(
[20:08:12]   [conformer_fusion] subject=S10  acc=0.874  f1=0.849
[20:08:19]   [conformer_fusion] subject=S11  acc=0.765  f1=0.742
[20:08:38]   [conformer_fusion] subject=S13  acc=1.000  f1=1.000
[20:08:47]   [conformer_fusion] subject=S14  acc=1.000  f1=1.000
[20:09:04]   [conformer_fusion] subject=S15  acc=0.941  f1=0.934
[20:09:17]   [conformer_fusion] subject=S16  acc=0.990  f1=0.989
[20:09:26]   [conformer_fusion] subject=S17  acc=1.000  f1=1.000
[20:09:33]   [conformer_fusion] subject=S2  acc=0.677  f1=0.669
[20:09:44]   [conformer_fusion] subject=S3  acc=0.990  f1=0.989
[20:09:55]   [conformer_fusion] subject=S4  acc=0.919  f1=0.902
[20:10:04]   [conformer_fusion] subject=S5  acc=0.879  f1=0.851
[20:10:18]   [conformer_fusion] subject=S6  acc=0.960  f1=0.956
[20:10:31]   [conformer_fusion] subject=S7  acc=0.808  f1=0.775
[20:10:43]   [conformer_fusion] subject=S8  acc=0.560  f1=0.533
[20:10:56]   [conformer_fusion] subject=S9  acc=0.970  f1=0.966
[20:10:56] --- LOSO [tiny_tcn] ---
[20:11:02]   [tiny_tcn_fusion] subject=S10  acc=0.796  f1=0.771
[20:11:06]   [tiny_tcn_fusion] subject=S11  acc=0.804  f1=0.776
[20:11:09]   [tiny_tcn_fusion] subject=S13  acc=0.980  f1=0.978
[20:11:12]   [tiny_tcn_fusion] subject=S14  acc=1.000  f1=1.000
[20:11:15]   [tiny_tcn_fusion] subject=S15  acc=0.624  f1=0.621
[20:11:20]   [tiny_tcn_fusion] subject=S16  acc=0.939  f1=0.931
[20:11:24]   [tiny_tcn_fusion] subject=S17  acc=0.960  f1=0.955
[20:11:28]   [tiny_tcn_fusion] subject=S2  acc=0.740  f1=0.739
[20:11:31]   [tiny_tcn_fusion] subject=S3  acc=0.980  f1=0.978
[20:11:37]   [tiny_tcn_fusion] subject=S4  acc=0.818  f1=0.785
[20:11:46]   [tiny_tcn_fusion] subject=S5  acc=0.879  f1=0.847
[20:11:50]   [tiny_tcn_fusion] subject=S6  acc=0.949  f1=0.944
[20:11:52]   [tiny_tcn_fusion] subject=S7  acc=0.838  f1=0.805
[20:11:56]   [tiny_tcn_fusion] subject=S8  acc=0.580  f1=0.566
[20:11:59]   [tiny_tcn_fusion] subject=S9  acc=0.960  f1=0.955
[20:11:59] --- LOSO [bilstm] ---
[20:12:04]   [bilstm_fusion] subject=S10  acc=0.874  f1=0.846
[20:12:10]   [bilstm_fusion] subject=S11  acc=0.755  f1=0.730
[20:12:15]   [bilstm_fusion] subject=S13  acc=0.951  f1=0.944
[20:12:19]   [bilstm_fusion] subject=S14  acc=1.000  f1=1.000
[20:12:27]   [bilstm_fusion] subject=S15  acc=0.495  f1=0.470
[20:12:32]   [bilstm_fusion] subject=S16  acc=0.919  f1=0.909
[20:12:36]   [bilstm_fusion] subject=S17  acc=0.980  f1=0.979
[20:12:39]   [bilstm_fusion] subject=S2  acc=0.635  f1=0.634
[20:12:45]   [bilstm_fusion] subject=S3  acc=0.990  f1=0.989
[20:12:47]   [bilstm_fusion] subject=S4  acc=0.919  f1=0.904
[20:12:52]   [bilstm_fusion] subject=S5  acc=0.859  f1=0.826
[20:12:55]   [bilstm_fusion] subject=S6  acc=0.960  f1=0.956
[20:12:57]   [bilstm_fusion] subject=S7  acc=0.798  f1=0.765
[20:13:00]   [bilstm_fusion] subject=S8  acc=0.690  f1=0.669
[20:13:04]   [bilstm_fusion] subject=S9  acc=0.919  f1=0.909
[20:13:04] --- LOSO [cnn1d] ---
[20:13:08]   [cnn1d_fusion] subject=S10  acc=0.825  f1=0.799
[20:13:12]   [cnn1d_fusion] subject=S11  acc=0.833  f1=0.805
[20:13:15]   [cnn1d_fusion] subject=S13  acc=0.971  f1=0.967
[20:13:19]   [cnn1d_fusion] subject=S14  acc=0.990  f1=0.989
[20:13:23]   [cnn1d_fusion] subject=S15  acc=0.693  f1=0.693
[20:13:27]   [cnn1d_fusion] subject=S16  acc=0.879  f1=0.866
[20:13:31]   [cnn1d_fusion] subject=S17  acc=0.980  f1=0.978
[20:13:33]   [cnn1d_fusion] subject=S2  acc=0.656  f1=0.656
[20:13:37]   [cnn1d_fusion] subject=S3  acc=0.960  f1=0.955
[20:13:40]   [cnn1d_fusion] subject=S4  acc=0.879  f1=0.847
[20:13:42]   [cnn1d_fusion] subject=S5  acc=0.768  f1=0.737
[20:13:47]   [cnn1d_fusion] subject=S6  acc=0.960  f1=0.955
[20:13:53]   [cnn1d_fusion] subject=S7  acc=0.657  f1=0.423
[20:13:59]   [cnn1d_fusion] subject=S8  acc=0.670  f1=0.648
[20:14:02]   [cnn1d_fusion] subject=S9  acc=0.929  f1=0.923
[20:14:02] [ensemble] 'RandomForest' calibrated T=0.50 (NLL=0.231)
[20:14:02] [ensemble] 'XGBoost' calibrated T=2.00 (NLL=0.232)
[20:14:02] [ensemble] 'LogisticRegression' calibrated T=2.00 (NLL=0.271)
[20:14:02] [ensemble] 'conformer_fusion' calibrated T=0.85 (NLL=0.258)
[20:14:02] [ensemble] built 'Ensemble_RandomForest+XGBoost+LogisticRegression+conformer_fusion' over 4 members  acc=0.906  f1=0.895
[20:14:06] Saved results to results\emotion\wesad_v6\wesad\arousal
