[13:04:13] device=cuda (GPU used by deep model: True)
[13:04:13] [WESAD] subjects=15  window=60s stride=30s @ 700Hz
X:\dev\Empathic\src\empathic\data\wesad.py:260: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  data = pickle.load(fh, encoding="latin1")
[13:09:03]   [bilstm] subject=S16  acc=0.838  f1=0.815
[13:09:07]   [bilstm] subject=S17  acc=0.970  f1=0.968
[13:09:09]   [bilstm] subject=S2  acc=0.740  f1=0.739
[13:09:13]   [bilstm] subject=S3  acc=0.960  f1=0.957
[13:09:16]   [bilstm] subject=S4  acc=0.859  f1=0.826
[13:09:20]   [bilstm] subject=S5  acc=0.778  f1=0.746
[13:09:23]   [bilstm] subject=S6  acc=0.879  f1=0.872
[13:09:26]   [bilstm] subject=S7  acc=0.798  f1=0.765
[13:09:29]   [bilstm] subject=S8  acc=0.630  f1=0.619
[13:09:33]   [bilstm] subject=S9  acc=0.798  f1=0.779
[13:09:33] --- LOSO [cnn1d] ---
[13:09:36]   [cnn1d] subject=S10  acc=0.845  f1=0.819
[13:09:41]   [cnn1d] subject=S11  acc=0.873  f1=0.845
[13:09:45]   [cnn1d] subject=S13  acc=0.961  f1=0.957
[13:09:48]   [cnn1d] subject=S14  acc=0.990  f1=0.989
[13:09:51]   [cnn1d] subject=S15  acc=0.713  f1=0.713
[13:09:55]   [cnn1d] subject=S16  acc=0.899  f1=0.886
[13:09:58]   [cnn1d] subject=S17  acc=0.940  f1=0.933
[13:10:02]   [cnn1d] subject=S2  acc=0.531  f1=0.520
[13:10:06]   [cnn1d] subject=S3  acc=0.909  f1=0.893
[13:10:10]   [cnn1d] subject=S4  acc=0.869  f1=0.836
[13:10:14]   [cnn1d] subject=S5  acc=0.869  f1=0.836
[13:10:16]   [cnn1d] subject=S6  acc=0.869  f1=0.843
[13:10:19]   [cnn1d] subject=S7  acc=0.586  f1=0.575
[13:10:23]   [cnn1d] subject=S8  acc=0.630  f1=0.613
[13:10:26]   [cnn1d] subject=S9  acc=0.859  f1=0.847
[13:10:26] --- LOSO [tstcc] ---
[13:10:33]   [tstcc-pretrain] epoch 10/40  loss=7.8511
[13:10:40]   [tstcc-pretrain] epoch 20/40  loss=7.7183
[13:10:47]   [tstcc-pretrain] epoch 30/40  loss=7.6627
[13:10:54]   [tstcc-pretrain] epoch 40/40  loss=7.6546
[13:10:56]   [tstcc] subject=S10  acc=0.854  f1=0.818
[13:11:03]   [tstcc-pretrain] epoch 10/40  loss=7.8514
[13:11:10]   [tstcc-pretrain] epoch 20/40  loss=7.7175
[13:11:17]   [tstcc-pretrain] epoch 30/40  loss=7.6713
[13:11:25]   [tstcc-pretrain] epoch 40/40  loss=7.6475
[13:11:26]   [tstcc] subject=S11  acc=0.755  f1=0.730
[13:11:33]   [tstcc-pretrain] epoch 10/40  loss=7.8271
[13:11:40]   [tstcc-pretrain] epoch 20/40  loss=7.7184
[13:11:47]   [tstcc-pretrain] epoch 30/40  loss=7.6630
[13:11:55]   [tstcc-pretrain] epoch 40/40  loss=7.6539
[13:11:56]   [tstcc] subject=S13  acc=0.765  f1=0.663
[13:12:03]   [tstcc-pretrain] epoch 10/40  loss=7.8556
[13:12:10]   [tstcc-pretrain] epoch 20/40  loss=7.7218
[13:12:17]   [tstcc-pretrain] epoch 30/40  loss=7.6587
[13:12:25]   [tstcc-pretrain] epoch 40/40  loss=7.6474
[13:12:26]   [tstcc] subject=S14  acc=0.971  f1=0.968
[13:12:33]   [tstcc-pretrain] epoch 10/40  loss=7.8595
[13:12:40]   [tstcc-pretrain] epoch 20/40  loss=7.7329
[13:12:47]   [tstcc-pretrain] epoch 30/40  loss=7.6755
[13:12:55]   [tstcc-pretrain] epoch 40/40  loss=7.6589
[13:12:56]   [tstcc] subject=S15  acc=0.535  f1=0.530
[13:13:03]   [tstcc-pretrain] epoch 10/40  loss=7.8466
[13:13:10]   [tstcc-pretrain] epoch 20/40  loss=7.7234
[13:13:18]   [tstcc-pretrain] epoch 30/40  loss=7.6786
[13:13:25]   [tstcc-pretrain] epoch 40/40  loss=7.6653
[13:13:26]   [tstcc] subject=S16  acc=0.737  f1=0.719
[13:13:33]   [tstcc-pretrain] epoch 10/40  loss=7.8533
[13:13:40]   [tstcc-pretrain] epoch 20/40  loss=7.7201
[13:13:48]   [tstcc-pretrain] epoch 30/40  loss=7.6768
[13:13:55]   [tstcc-pretrain] epoch 40/40  loss=7.6692
[13:13:56]   [tstcc] subject=S17  acc=0.890  f1=0.887
[13:14:03]   [tstcc-pretrain] epoch 10/40  loss=7.8432
[13:14:10]   [tstcc-pretrain] epoch 20/40  loss=7.7238
[13:14:18]   [tstcc-pretrain] epoch 30/40  loss=7.6740
[13:14:25]   [tstcc-pretrain] epoch 40/40  loss=7.6645
[13:14:26]   [tstcc] subject=S2  acc=0.812  f1=0.810
[13:14:33]   [tstcc-pretrain] epoch 10/40  loss=7.8550
[13:14:40]   [tstcc-pretrain] epoch 20/40  loss=7.7217
[13:14:48]   [tstcc-pretrain] epoch 30/40  loss=7.6692
[13:14:55]   [tstcc-pretrain] epoch 40/40  loss=7.6568
[13:14:56]   [tstcc] subject=S3  acc=0.909  f1=0.903
[13:15:03]   [tstcc-pretrain] epoch 10/40  loss=7.8340
[13:15:10]   [tstcc-pretrain] epoch 20/40  loss=7.7140
[13:15:17]   [tstcc-pretrain] epoch 30/40  loss=7.6782
[13:15:25]   [tstcc-pretrain] epoch 40/40  loss=7.6526
[13:15:26]   [tstcc] subject=S4  acc=0.879  f1=0.847
[13:15:33]   [tstcc-pretrain] epoch 10/40  loss=7.8609
[13:15:40]   [tstcc-pretrain] epoch 20/40  loss=7.7342
[13:15:47]   [tstcc-pretrain] epoch 30/40  loss=7.6727
[13:15:54]   [tstcc-pretrain] epoch 40/40  loss=7.6664
[13:15:56]   [tstcc] subject=S5  acc=0.828  f1=0.795
[13:16:03]   [tstcc-pretrain] epoch 10/40  loss=7.8577
[13:16:10]   [tstcc-pretrain] epoch 20/40  loss=7.7288
[13:16:17]   [tstcc-pretrain] epoch 30/40  loss=7.6694
[13:16:25]   [tstcc-pretrain] epoch 40/40  loss=7.6705
[13:16:26]   [tstcc] subject=S6  acc=0.747  f1=0.722
[13:16:33]   [tstcc-pretrain] epoch 10/40  loss=7.8513
[13:16:40]   [tstcc-pretrain] epoch 20/40  loss=7.7247
[13:16:47]   [tstcc-pretrain] epoch 30/40  loss=7.6886
[13:16:55]   [tstcc-pretrain] epoch 40/40  loss=7.6832
[13:16:56]   [tstcc] subject=S7  acc=0.768  f1=0.737
[13:17:03]   [tstcc-pretrain] epoch 10/40  loss=7.8640
[13:17:10]   [tstcc-pretrain] epoch 20/40  loss=7.7175
[13:17:18]   [tstcc-pretrain] epoch 30/40  loss=7.6706
[13:17:25]   [tstcc-pretrain] epoch 40/40  loss=7.6846
[13:17:26]   [tstcc] subject=S8  acc=0.760  f1=0.733
[13:17:33]   [tstcc-pretrain] epoch 10/40  loss=7.8640
[13:17:40]   [tstcc-pretrain] epoch 20/40  loss=7.7314
[13:17:47]   [tstcc-pretrain] epoch 30/40  loss=7.6726
[13:17:55]   [tstcc-pretrain] epoch 40/40  loss=7.6527
[13:17:56]   [tstcc] subject=S9  acc=0.879  f1=0.867
[13:17:56] --- LOSO [dann] ---
[13:18:08]   [dann] subject=S10  acc=0.748  f1=0.681
[13:18:20]   [dann] subject=S11  acc=0.696  f1=0.669
[13:18:32]   [dann] subject=S13  acc=0.922  f1=0.907
[13:18:44]   [dann] subject=S14  acc=0.990  f1=0.989
[13:18:56]   [dann] subject=S15  acc=0.891  f1=0.886
[13:19:08]   [dann] subject=S16  acc=0.879  f1=0.859
[13:19:20]   [dann] subject=S17  acc=0.940  f1=0.935
[13:19:32]   [dann] subject=S2  acc=0.542  f1=0.534
[13:19:43]   [dann] subject=S3  acc=1.000  f1=1.000
[13:19:55]   [dann] subject=S4  acc=0.879  f1=0.847
[13:20:07]   [dann] subject=S5  acc=0.838  f1=0.805
[13:20:20]   [dann] subject=S6  acc=0.919  f1=0.913
[13:20:28]   [dann] subject=S7  acc=0.869  f1=0.836
[13:20:39]   [dann] subject=S8  acc=0.600  f1=0.589
[13:20:50]   [dann] subject=S9  acc=0.889  f1=0.870
[13:20:52] Saved results to results\emotion\wesad_full\wesad\arousal
