[19:56:51] device=cuda (GPU used by deep model: True)
[19:56:51] [WESAD] subjects=15  window=60s stride=30s @ 700Hz
X:\dev\Empathic\src\empathic\data\wesad.py:444: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  data = pickle.load(fh, encoding="latin1")
[19:57:54]   [RandomForest] subject=S2  acc=0.802  f1=0.772
[19:57:55]   [RandomForest] subject=S3  acc=0.960  f1=0.955
[19:57:55]   [RandomForest] subject=S4  acc=0.869  f1=0.836
[19:57:56]   [RandomForest] subject=S5  acc=0.859  f1=0.833
[19:57:56]   [RandomForest] subject=S6  acc=0.980  f1=0.978
[19:57:57]   [RandomForest] subject=S7  acc=0.828  f1=0.795
[19:57:57]   [RandomForest] subject=S8  acc=0.830  f1=0.809
[19:57:58]   [RandomForest] subject=S9  acc=0.990  f1=0.989
[19:57:58] --- LOSO [LogisticRegression] ---
[19:57:58]   [LogisticRegression] subject=S10  acc=0.854  f1=0.829
[19:57:58]   [LogisticRegression] subject=S11  acc=0.814  f1=0.804
[19:57:58]   [LogisticRegression] subject=S13  acc=0.961  f1=0.957
[19:57:58]   [LogisticRegression] subject=S14  acc=1.000  f1=1.000
[19:57:58]   [LogisticRegression] subject=S15  acc=0.881  f1=0.876
[19:57:58]   [LogisticRegression] subject=S16  acc=0.970  f1=0.967
[19:57:58]   [LogisticRegression] subject=S17  acc=0.940  f1=0.934
[19:57:58]   [LogisticRegression] subject=S2  acc=0.510  f1=0.506
[19:57:58]   [LogisticRegression] subject=S3  acc=0.939  f1=0.934
[19:57:58]   [LogisticRegression] subject=S4  acc=0.949  f1=0.941
[19:57:58]   [LogisticRegression] subject=S5  acc=0.970  f1=0.965
[19:57:58]   [LogisticRegression] subject=S6  acc=0.939  f1=0.935
[19:57:58]   [LogisticRegression] subject=S7  acc=0.879  f1=0.869
[19:57:58]   [LogisticRegression] subject=S8  acc=0.760  f1=0.748
[19:57:58]   [LogisticRegression] subject=S9  acc=0.960  f1=0.955
[19:57:58] --- LOSO [XGBoost] ---
X:\dev\Empathic\.venv\Lib\site-packages\xgboost\core.py:751: UserWarning: [19:57:59] WARNING: C:\actions-runner\_work\xgboost\xgboost\src\common\error_msg.cc:62: Falling back to prediction using DMatrix due to mismatched devices. This might lead to higher memory usage and slower performance. XGBoost is running on: cuda:0, while the input data is on: cpu.
Potential solutions:
- Use a data structure that matches the device ordinal in the booster.
- Set the device for booster before call to inplace_predict.

This warning will only be shown once.

  return func(**kwargs)
[19:57:59]   [XGBoost] subject=S10  acc=0.835  f1=0.794
[19:58:00]   [XGBoost] subject=S11  acc=0.892  f1=0.876
[19:58:00]   [XGBoost] subject=S13  acc=0.990  f1=0.989
[19:58:01]   [XGBoost] subject=S14  acc=0.990  f1=0.989
[19:58:01]   [XGBoost] subject=S15  acc=0.941  f1=0.932
[19:58:02]   [XGBoost] subject=S16  acc=0.960  f1=0.955
[19:58:03]   [XGBoost] subject=S17  acc=0.990  f1=0.989
[19:58:03]   [XGBoost] subject=S2  acc=0.573  f1=0.565
[19:58:04]   [XGBoost] subject=S3  acc=0.939  f1=0.935
[19:58:05]   [XGBoost] subject=S4  acc=0.939  f1=0.931
[19:58:05]   [XGBoost] subject=S5  acc=0.939  f1=0.932
[19:58:06]   [XGBoost] subject=S6  acc=0.990  f1=0.989
[19:58:06]   [XGBoost] subject=S7  acc=0.848  f1=0.811
[19:58:07]   [XGBoost] subject=S8  acc=0.730  f1=0.724
[19:58:08]   [XGBoost] subject=S9  acc=0.960  f1=0.955
[19:58:08] --- LOSO [conformer] ---
X:\dev\Empathic\.venv\Lib\site-packages\torch\nn\modules\module.py:1370: UserWarning: expandable_segments not supported on this platform (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\c10/cuda/CUDAAllocatorConfig.h:39.)
  return t.to(
[19:58:22]   [conformer_fusion] subject=S10  acc=0.864  f1=0.838
[19:58:28]   [conformer_fusion] subject=S11  acc=0.755  f1=0.730
[19:58:40]   [conformer_fusion] subject=S13  acc=0.951  f1=0.946
[19:58:48]   [conformer_fusion] subject=S14  acc=1.000  f1=1.000
[19:58:57]   [conformer_fusion] subject=S15  acc=0.931  f1=0.922
[19:59:08]   [conformer_fusion] subject=S16  acc=0.949  f1=0.944
[19:59:18]   [conformer_fusion] subject=S17  acc=0.970  f1=0.967
[19:59:27]   [conformer_fusion] subject=S2  acc=0.667  f1=0.667
[19:59:36]   [conformer_fusion] subject=S3  acc=0.980  f1=0.978
[19:59:43]   [conformer_fusion] subject=S4  acc=0.879  f1=0.847
[19:59:53]   [conformer_fusion] subject=S5  acc=0.889  f1=0.865
[20:00:04]   [conformer_fusion] subject=S6  acc=0.970  f1=0.967
[20:00:15]   [conformer_fusion] subject=S7  acc=0.859  f1=0.826
[20:00:27]   [conformer_fusion] subject=S8  acc=0.610  f1=0.598
[20:00:38]   [conformer_fusion] subject=S9  acc=0.929  f1=0.917
[20:00:38] --- LOSO [tiny_tcn] ---
[20:00:42]   [tiny_tcn_fusion] subject=S10  acc=0.806  f1=0.780
[20:00:46]   [tiny_tcn_fusion] subject=S11  acc=0.814  f1=0.786
[20:00:51]   [tiny_tcn_fusion] subject=S13  acc=0.980  f1=0.978
[20:00:56]   [tiny_tcn_fusion] subject=S14  acc=0.990  f1=0.989
[20:01:00]   [tiny_tcn_fusion] subject=S15  acc=0.723  f1=0.723
[20:01:04]   [tiny_tcn_fusion] subject=S16  acc=0.859  f1=0.836
[20:01:07]   [tiny_tcn_fusion] subject=S17  acc=0.960  f1=0.956
[20:01:12]   [tiny_tcn_fusion] subject=S2  acc=0.604  f1=0.601
[20:01:14]   [tiny_tcn_fusion] subject=S3  acc=0.980  f1=0.978
[20:01:17]   [tiny_tcn_fusion] subject=S4  acc=0.869  f1=0.836
[20:01:22]   [tiny_tcn_fusion] subject=S5  acc=0.869  f1=0.836
[20:01:25]   [tiny_tcn_fusion] subject=S6  acc=0.970  f1=0.967
[20:01:30]   [tiny_tcn_fusion] subject=S7  acc=0.788  f1=0.756
[20:01:35]   [tiny_tcn_fusion] subject=S8  acc=0.650  f1=0.650
[20:01:40]   [tiny_tcn_fusion] subject=S9  acc=0.889  f1=0.879
[20:01:40] --- LOSO [bilstm] ---
[20:01:44]   [bilstm_fusion] subject=S10  acc=0.883  f1=0.859
[20:01:46]   [bilstm_fusion] subject=S11  acc=0.863  f1=0.843
[20:01:50]   [bilstm_fusion] subject=S13  acc=0.980  f1=0.978
[20:01:53]   [bilstm_fusion] subject=S14  acc=1.000  f1=1.000
[20:01:57]   [bilstm_fusion] subject=S15  acc=0.941  f1=0.937
[20:02:00]   [bilstm_fusion] subject=S16  acc=0.960  f1=0.954
[20:02:03]   [bilstm_fusion] subject=S17  acc=0.990  f1=0.989
[20:02:08]   [bilstm_fusion] subject=S2  acc=0.698  f1=0.698
[20:02:12]   [bilstm_fusion] subject=S3  acc=0.939  f1=0.936
[20:02:17]   [bilstm_fusion] subject=S4  acc=0.929  f1=0.915
[20:02:20]   [bilstm_fusion] subject=S5  acc=0.848  f1=0.815
[20:02:24]   [bilstm_fusion] subject=S6  acc=0.960  f1=0.956
[20:02:28]   [bilstm_fusion] subject=S7  acc=0.808  f1=0.782
[20:02:32]   [bilstm_fusion] subject=S8  acc=0.630  f1=0.616
[20:02:36]   [bilstm_fusion] subject=S9  acc=0.949  f1=0.944
[20:02:36] --- LOSO [cnn1d] ---
[20:02:41]   [cnn1d_fusion] subject=S10  acc=0.825  f1=0.792
[20:02:46]   [cnn1d_fusion] subject=S11  acc=0.775  f1=0.748
[20:02:50]   [cnn1d_fusion] subject=S13  acc=0.971  f1=0.967
[20:02:52]   [cnn1d_fusion] subject=S14  acc=0.990  f1=0.989
[20:02:55]   [cnn1d_fusion] subject=S15  acc=0.703  f1=0.703
[20:03:00]   [cnn1d_fusion] subject=S16  acc=0.899  f1=0.886
[20:03:04]   [cnn1d_fusion] subject=S17  acc=0.880  f1=0.860
[20:03:08]   [cnn1d_fusion] subject=S2  acc=0.594  f1=0.592
[20:03:11]   [cnn1d_fusion] subject=S3  acc=0.980  f1=0.978
[20:03:15]   [cnn1d_fusion] subject=S4  acc=0.879  f1=0.847
[20:03:19]   [cnn1d_fusion] subject=S5  acc=0.879  f1=0.847
[20:03:23]   [cnn1d_fusion] subject=S6  acc=0.919  f1=0.906
[20:03:27]   [cnn1d_fusion] subject=S7  acc=0.596  f1=0.573
[20:03:32]   [cnn1d_fusion] subject=S8  acc=0.740  f1=0.724
[20:03:36]   [cnn1d_fusion] subject=S9  acc=0.909  f1=0.898
[20:03:36] [ensemble] 'RandomForest' calibrated T=0.50 (NLL=0.231)
[20:03:36] [ensemble] 'XGBoost' calibrated T=2.00 (NLL=0.232)
[20:03:36] [ensemble] 'LogisticRegression' calibrated T=2.00 (NLL=0.271)
[20:03:36] [ensemble] 'conformer_fusion' calibrated T=1.00 (NLL=0.292)
[20:03:36] [ensemble] built 'Ensemble_RandomForest+XGBoost+LogisticRegression+conformer_fusion' over 4 members  acc=0.899  f1=0.888
[20:03:39] Saved results to results\emotion\wesad_v5\wesad\arousal
